Subject,predicate,Object,Rarity,EitherNotPlace,DifferentOccupation,smallPlace,Importance,interestingness
Democratic Party (United States),http://dbpedia.org/ontology/colour,Red states and blue states,0.114339014285882,1.0,1.0,0.0,0.0,0.0
Alliance of Democrats,http://dbpedia.org/ontology/parentOrganisation,Liberal International,0.13307074464682372,1.0,1.0,0.0,0.0,0.0
Alliance of Democrats,http://dbpedia.org/ontology/location,Brussels,0.07942538416398712,1.0,1.0,0.05291208991245446,0.0,0.0
Alliance of Democrats,http://dbpedia.org/ontology/parentOrganisation,European Democratic Party,0.13307074464682372,1.0,1.0,0.0,0.0,0.0
Alliance of Democrats,http://dbpedia.org/ontology/parentOrganisation,Council of Asian Liberals and Democrats,0.13307074464682372,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Anderlecht,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Auderghem,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Etterbeek,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Forest, Belgium,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Ganshoren,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Koekelberg,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Saint-Gilles, Belgium,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Schaerbeek,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Sint-Jans-Molenbeek,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/country,Belgium,0.06855116326060441,1.0,1.0,0.041421731882673674,0.0,0.0
Brussels,http://dbpedia.org/ontology/leaderName,Charles Picqué,0.10246727946216483,1.0,0.0,0.0,0.0,0.0
Brussels,http://dbpedia.org/ontology/part,Sint-Agatha-Berchem,0.10629666764197687,1.0,1.0,0.0,0.0,0.0
