Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Sarah Stein",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.1005879891331944E-5,0.002743675595238095
"Ronnie Landfield",influencedBy,"Pablo Picasso",3.255208333333333E-4,6.055430740169877E-5,2.7014432460542043E-5,0.002743675595238095
"Merton Simpson",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,1.2006414426907576E-5,0.002743675595238095
"Joan Glass",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,9.004810820180681E-6,0.002743675595238095
"Clifton Pugh",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,2.9015501531693307E-5,0.002743675595238095
"Jan Matulka",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,1.951042344372481E-5,0.002743675595238095
"Wilhelmina Weber Furlong",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,3.7019777816298355E-5,0.002743675595238095
"Olga Khokhlova",spouse,"Pablo Picasso",4.0749796251018746E-5,6.055430740169877E-5,9.104864273738244E-5,4.0749796251018746E-5
"Monique Mayère",influencedBy,"Pablo Picasso",4.650297619047619E-4,6.055430740169877E-5,1.5508285301422286E-5,0.002743675595238095
"Paul Gauguin",influenced,"Pablo Picasso",2.8169014084507044E-4,6.055430740169877E-5,2.581379101785129E-4,4.6948356807511736E-4
"Dora Maar",knownFor,"Pablo Picasso",7.174887892376682E-5,6.055430740169877E-5,1.3207055869598333E-4,3.587443946188341E-5
"Alfred Jarry",influenced,"Pablo Picasso",7.511737089201878E-4,6.055430740169877E-5,2.4763229755496875E-4,4.6948356807511736E-4
"Paloma Picasso",parent,"Pablo Picasso",8.763473841030585E-5,6.055430740169877E-5,9.505078087968498E-5,4.3817369205152925E-5
"Helmut Kolle",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,3.251737240620802E-5,0.002743675595238095
"Bunny Matthews",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.0505612623544128E-5,0.002743675595238095
"Jazzamoart",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,9.004810820180681E-6,0.002743675595238095
"Federico Castellón",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,3.301763967399583E-5,0.002743675595238095
"José de Almada Negreiros",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.2306574787580266E-4,0.002743675595238095
"Ben Shahn",influencedBy,"Pablo Picasso",3.720238095238095E-4,6.055430740169877E-5,3.161689132418995E-4,0.002743675595238095
"Wifredo Lam",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,1.2006414426907575E-4,0.002743675595238095
"Gillian Wearing",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,1.1005879891331944E-5,0.002743675595238095
"Russ Warren",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,7.5040090168172345E-6,0.002743675595238095
"Jean-Michel Basquiat",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,3.481860183803197E-4,0.002743675595238095
"Federico Cantú Garza",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,1.0505612623544128E-4,0.002743675595238095
"Francis Picabia",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,2.3412508132469772E-4,0.002743675595238095
"Vincent van Gogh",influencedBy,"Jean-François Millet",2.3251488095238094E-4,2.3251488095238094E-4,3.7520045084086172E-6,4.978909719695233E-4
"Vincent van Gogh",influenced,"Wassily Kandinsky",4.6948356807511736E-4,1.8779342723004695E-4,3.7520045084086172E-6,8.208472781119167E-4
"Vincent van Gogh",influenced,"Henri Matisse",4.6948356807511736E-4,2.8169014084507044E-4,3.7520045084086172E-6,0.002624019987406947
"Vincent van Gogh",influencedBy,"Rembrandt",2.3251488095238094E-4,0.0013485863095238095,3.7520045084086172E-6,0.002031933426145892
"Vincent van Gogh",influencedBy,"Eugène Delacroix",2.3251488095238094E-4,2.7901785714285713E-4,3.7520045084086172E-6,0.0010092384566949796
"Vincent van Gogh",influenced,"Emil Nolde",4.6948356807511736E-4,9.389671361502347E-5,3.7520045084086172E-6,1.7493466582712978E-4
"Vincent van Gogh",training,"Anton Mauve",2.0785699438786114E-4,2.0785699438786114E-4,3.7520045084086172E-6,7.849632440960952E-5
"Vincent van Gogh",influenced,"Émile Bernard",4.6948356807511736E-4,9.389671361502347E-5,3.7520045084086172E-6,1.1101623023644775E-4
"Vincent van Gogh",influenced,"Oskar Kokoschka",4.6948356807511736E-4,1.8779342723004695E-4,3.7520045084086172E-6,3.9023886992205876E-4
"Theo van Gogh (art dealer)",knownFor,"Vincent van Gogh",3.587443946188341E-5,7.345013212613463E-5,1.0455585896765347E-4,3.587443946188341E-5
"Victor Stabin",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.1005879891331944E-5,0.0011160714285714285
"Joan Mitchell",influencedBy,"Vincent van Gogh",3.255208333333333E-4,7.345013212613463E-5,1.4007483498058837E-4,0.0011160714285714285
"Dick Bruna",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.760940782613111E-4,0.0011160714285714285
"Roger Ing",influencedBy,"Vincent van Gogh",2.3251488095238094E-4,7.345013212613463E-5,1.7509354372573547E-5,0.0011160714285714285
"Hayley Lever",influencedBy,"Vincent van Gogh",4.650297619047619E-5,7.345013212613463E-5,2.9515768799481123E-5,0.0011160714285714285
"Annette P. Jimerson",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,1.2006414426907576E-5,0.0011160714285714285
"Antonia Gerstacker",influencedBy,"Vincent van Gogh",3.255208333333333E-4,7.345013212613463E-5,2.6013897924966413E-5,0.0011160714285714285
"Aung Khin",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,1.4507750765846654E-5,0.0011160714285714285
"Henri Matisse",influencedBy,"Vincent van Gogh",2.3251488095238094E-4,7.345013212613463E-5,5.102726131435719E-4,0.0011160714285714285
"Arman",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.951042344372481E-4,0.0011160714285714285
"Alexis Preller",influencedBy,"Vincent van Gogh",9.300595238095238E-5,7.345013212613463E-5,1.8009621640361362E-5,0.0011160714285714285
"Israel Tsvaygenbaum",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,9.90529190219875E-5,0.0011160714285714285
"Hadaa Sendoo",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,6.303367574126477E-5,0.0011160714285714285
"Vincent Van Gogh",wikiPageRedirects,"Vincent van Gogh",1.6734289932283022E-7,7.345013212613463E-5,1.0005345355756313E-6,3.1795150871337745E-6
"Subhash Awchat",influencedBy,"Vincent van Gogh",4.650297619047619E-5,7.345013212613463E-5,6.003207213453788E-6,0.0011160714285714285
"Chuck Connelly",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,1.5508285301422286E-5,0.0011160714285714285
"Adolphe Joseph Thomas Monticelli",influenced,"Vincent van Gogh",9.389671361502347E-5,7.345013212613463E-5,1.1556173885898541E-4,1.8779342723004695E-4
"Maggie Laubser",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.4507750765846654E-5,0.0011160714285714285
"Ai Qing",influencedBy,"Vincent van Gogh",2.3251488095238094E-4,7.345013212613463E-5,1.850988890814918E-4,0.0011160714285714285
"Anton Mauve",influenced,"Vincent van Gogh",9.389671361502347E-5,7.345013212613463E-5,3.2517372406208015E-4,1.8779342723004695E-4
"Purvis Young",influencedBy,"Vincent van Gogh",1.8601190476190475E-4,7.345013212613463E-5,4.002138142302525E-5,0.0011160714285714285
"Giorgio De Vincenzi",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,2.3012294318239518E-5,0.0011160714285714285
"Hai Zi",influencedBy,"Vincent van Gogh",2.3251488095238094E-4,7.345013212613463E-5,2.4012828853815152E-5,0.0011160714285714285
"Joan Glass",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,9.004810820180681E-6,0.0011160714285714285
"Dav Pilkey",influencedBy,"Vincent van Gogh",2.3251488095238094E-4,7.345013212613463E-5,5.252806311772064E-5,0.0011160714285714285
"Van Gogh",wikiPageRedirects,"Vincent van Gogh",1.6734289932283022E-7,7.345013212613463E-5,1.0005345355756313E-6,3.1795150871337745E-6
"Leo Marchutz",influencedBy,"Vincent van Gogh",9.300595238095238E-5,7.345013212613463E-5,9.505078087968498E-6,0.0011160714285714285
"Bruce B. Jefferson",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.1005879891331944E-5,0.0011160714285714285
"George Orwell",influenced,"Albert Camus",0.001784037558685446,0.0012206572769953052,1.1506147159119759E-5,0.002031933426145892
"George Orwell",influencedBy,"H. G. Wells",8.370535714285714E-4,0.001720610119047619,1.1506147159119759E-5,0.003619801931345993
"George Orwell",influenced,"Andrew Sullivan",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,7.401082015763184E-5
"George Orwell",influenced,"Raoul Vaneigem",0.001784037558685446,3.755868544600939E-4,1.1506147159119759E-5,2.724943833076445E-4
"George Orwell",influencedBy,"Charles Dickens",8.370535714285714E-4,0.002185639880952381,1.1506147159119759E-5,0.005019279257963032
"George Orwell",influenced,"John King (author)",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,6.055430740169877E-5
"George Orwell",influenced,"Christopher Hitchens",0.001784037558685446,0.0013145539906103286,1.1506147159119759E-5,0.0011224974390574162
"George Orwell",influencedBy,"Leon Trotsky",8.370535714285714E-4,2.7901785714285713E-4,1.1506147159119759E-5,0.0017639245470902254
"George Orwell",influenced,"Noam Chomsky",0.001784037558685446,7.511737089201878E-4,1.1506147159119759E-5,0.002516367885359482
"George Orwell",influenced,"Chris Hedges",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,1.6484228126018E-4
"George Orwell",influenced,"Joe Sacco",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,1.7157053763814653E-4
"George Orwell",influenced,"Glenn Greenwald",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,5.0461922834748976E-5
"George Orwell",influencedBy,"Émile Zola",8.370535714285714E-4,0.001209077380952381,1.1506147159119759E-5,0.00197810737512216
"George Orwell",influencedBy,"Jonathan Swift",8.370535714285714E-4,0.0010230654761904762,1.1506147159119759E-5,0.001116890558742444
"George Orwell",influenced,"Kurt Vonnegut",0.001784037558685446,7.511737089201878E-4,1.1506147159119759E-5,0.0025701939363832146
"George Orwell",influencedBy,"Tom Wintringham",8.370535714285714E-4,4.650297619047619E-5,1.1506147159119759E-5,1.5699264881921904E-5
"George Orwell",influencedBy,"Gustave Flaubert",8.370535714285714E-4,0.0018136160714285715,1.1506147159119759E-5,0.0014936729159085696
"George Orwell",influencedBy,"Fyodor Dostoyevsky",8.370535714285714E-4,0.0038132440476190475,1.1506147159119759E-5,0.004992366232451166
"George Orwell",influencedBy,"Arthur Koestler",8.370535714285714E-4,9.300595238095238E-5,1.1506147159119759E-5,6.055430740169877E-4
"George Orwell",influencedBy,"Upton Sinclair",8.370535714285714E-4,9.300595238095238E-5,1.1506147159119759E-5,0.0012514556863017746
"George Orwell",influenced,"Johann Hari",0.001784037558685446,1.8779342723004695E-4,1.1506147159119759E-5,3.700541007881592E-5
"George Orwell",influencedBy,"Henry Fielding",8.370535714285714E-4,2.7901785714285713E-4,1.1506147159119759E-5,5.786300485051216E-4
"George Orwell",influencedBy,"James Joyce",8.370535714285714E-4,0.004417782738095238,1.1506147159119759E-5,0.004050410339535852
"George Orwell",influencedBy,"Jack London",8.370535714285714E-4,8.370535714285714E-4,1.1506147159119759E-5,0.0017089771200034987
"George Orwell",influenced,"Thomas Pynchon",0.001784037558685446,0.0011267605633802818,1.1506147159119759E-5,0.001547498966932302
"George Orwell",influencedBy,"Aldous Huxley",8.370535714285714E-4,4.650297619047619E-4,1.1506147159119759E-5,0.0012514556863017746
"George Orwell",spouse,"Eileen O'Shaughnessy",8.149959250203749E-5,4.0749796251018746E-5,1.1506147159119759E-5,1.5699264881921904E-5
"George Orwell",influenced,"Cory Doctorow",0.001784037558685446,1.8779342723004695E-4,1.1506147159119759E-5,8.208472781119167E-4
"George Orwell",influencedBy,"W. Somerset Maugham",8.370535714285714E-4,9.300595238095238E-5,1.1506147159119759E-5,0.0015205859414204358
"George Orwell",influenced,"Anthony Burgess",0.001784037558685446,7.511737089201878E-4,1.1506147159119759E-5,0.0012783687118136408
"George Orwell",influenced,"Michael Crichton",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,0.002247237630240821
"George Orwell",influenced,"Margaret Atwood",0.001784037558685446,8.450704225352113E-4,1.1506147159119759E-5,0.0013052817373255068
"George Orwell",influenced,"Ignazio Silone",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,1.2335136692938638E-4
"George Orwell",influenced,"Ray Bradbury",0.001784037558685446,0.0011267605633802818,1.1506147159119759E-5,0.003565975880322261
"George Orwell",influencedBy,"Leo Tolstoy",8.370535714285714E-4,0.002185639880952381,1.1506147159119759E-5,0.0043195405946545124
"George Orwell",influencedBy,"Yevgeny Zamyatin",8.370535714285714E-4,9.300595238095238E-5,1.1506147159119759E-5,7.670212270881844E-4
"George Orwell",influenced,"Peter Hitchens",0.001784037558685446,9.389671361502347E-5,1.1506147159119759E-5,9.531696535452584E-5
"George Orwell",influencedBy,"James Burnham",8.370535714285714E-4,4.650297619047619E-5,1.1506147159119759E-5,2.3548897322882857E-5
"Jack London",influenced,"George Orwell",9.389671361502347E-4,2.691302551186612E-5,6.183303429857401E-4,9.389671361502347E-4
"H. G. Wells",influenced,"George Orwell",0.0022535211267605635,2.691302551186612E-5,8.584586315238917E-4,9.389671361502347E-4
"Tobias Smollett",influenced,"George Orwell",1.8779342723004695E-4,2.691302551186612E-5,1.5508285301422286E-4,9.389671361502347E-4
"Steve Matchett",influencedBy,"George Orwell",1.3950892857142856E-4,2.691302551186612E-5,1.2506681694695391E-5,8.835565476190476E-4
"John King (author)",influencedBy,"George Orwell",9.300595238095238E-5,2.691302551186612E-5,1.7709461279688673E-4,8.835565476190476E-4
"Henry Fielding",influenced,"George Orwell",6.572769953051643E-4,2.691302551186612E-5,3.902084688744962E-4,9.389671361502347E-4
"Gustave Flaubert",influenced,"George Orwell",0.001784037558685446,2.691302551186612E-5,6.543495862664628E-4,9.389671361502347E-4
