Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Vincent van Gogh",movement,"Post-Impressionism",1.88040616773223E-4,0.010154193305754042,3.7520045084086172E-6,0.010324652976941608
"George Orwell",notableWork,"Homage to Catalonia",8.8261253309797E-4,2.206531332744925E-4,1.1506147159119759E-5,5.735918320523115E-4
"George Orwell",notableWork,"Nineteen Eighty-Four",8.8261253309797E-4,2.206531332744925E-4,1.1506147159119759E-5,0.006570233712599205
"George Orwell",notableWork,"Animal Farm",8.8261253309797E-4,2.206531332744925E-4,1.1506147159119759E-5,0.00419243484518235
